policy_id,customer_id,agent_id,last_payment_dt,policy_issue_dt,sum_assured,policy_premium,nb_riders,rider_premium,time_stamp_x,last_termination_dt,time_stamp_y,customer_marital_cd,customer_age,customer_social_group,customer_income,customer_additional_products,time_stamp_x,agent_age,agent_tenure,agent_active_portfolio,agent_inactive_portfolio,time_stamp_y,contact_channel_broker,contact_channel_direct,contact_channel_partnership,product_code_BP_00170090,product_code_BP_00334803,product_code_BP_00479053,product_code_BP_01087308,product_code_BP_01127451,product_code_BP_01183560,product_code_BP_01260044,product_code_BP_01308135,product_code_BP_01653768,product_code_BP_01817929,product_code_BP_01976597,product_code_BP_02048854,product_code_BP_02051691,product_code_BP_02392541,product_code_BP_02399030,product_code_BP_02483900,product_code_BP_02602657,product_code_BP_02713903,product_code_BP_03569413,product_code_BP_03610818,product_code_BP_03740581,product_code_BP_03765630,product_code_BP_03919759,product_code_BP_03922794,product_code_BP_04023598,product_code_BP_04044020,product_code_BP_04229248,product_code_BP_04345985,product_code_BP_04399222,product_code_BP_04624090,product_code_BP_04707731,product_code_BP_04904952,product_code_BP_05169954,product_code_BP_05367939,product_code_BP_05538098,product_code_BP_06134513,product_code_BP_06342177,product_code_BP_06646153,product_code_BP_06758239,product_code_BP_07119562,product_code_BP_07570704,product_code_BP_07665809,product_code_BP_07668115,product_code_BP_07897771,product_code_BP_08252793,product_code_BP_08384630,product_code_BP_08525135,product_code_BP_09034941,product_code_BP_09208081,product_code_BP_09391664,product_code_BP_09426101,product_code_BP_09740724,product_code_BP_09825120,product_code_BP_09828249,policy_status_cd_B,last_policy_status_cancelled,customer_origin_new,customer_gender_F,customer_gender_M,agent_status_inactive
P_08540656,C_02253074,AG_04302485,2016-04-30,2016-04-30,1144000.0,1400.0,2.0,1200.0,2017-01-31,2017-06-30,2018-01-31,1,30.0,3.0,50000.0,2,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
P_08291592,C_04601416,AG_04302485,2016-02-28,2015-01-31,1231000.0,2100.0,2.0,1700.0,2017-01-31,,2018-01-31,2,40.0,4.0,70000.0,3,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
P_08082842,C_05958916,AG_04302485,2016-04-30,2014-04-30,1083000.0,1500.0,2.0,1200.0,2017-01-31,,2018-01-31,2,40.0,1.0,65000.0,3,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
P_07937767,C_01975453,AG_04302485,2016-05-31,2016-05-31,1144000.0,1200.0,2.0,1100.0,2017-01-31,,2018-01-31,2,45.0,3.0,80000.0,3,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
P_07149508,C_01975453,AG_04302485,2016-05-31,2016-05-31,1576000.0,4700.0,2.0,3900.0,2017-01-31,,2018-01-31,2,45.0,3.0,80000.0,3,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
P_00354543,C_01975453,AG_04302485,2016-05-31,2016-05-31,1144000.0,1200.0,2.0,1100.0,2017-01-31,,2018-01-31,2,45.0,3.0,80000.0,3,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
P_07800221,C_08168613,AG_04302485,2016-05-31,2014-05-31,1569000.0,2200.0,3.0,1500.0,2017-01-31,,2018-01-31,2,40.0,1.0,90000.0,2,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
P_07734526,C_08591775,AG_04302485,2016-06-30,2015-05-31,1720000.0,1900.0,2.0,1200.0,2017-01-31,,2018-01-31,2,35.0,6.0,90000.0,3,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
P_07282001,C_04912453,AG_04302485,2016-04-30,2014-04-30,1144000.0,1900.0,3.0,1500.0,2017-01-31,,2018-01-31,2,40.0,4.0,55000.0,2,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
P_06495984,C_08696356,AG_04302485,2016-12-31,2015-11-30,1144000.0,4800.0,2.0,3600.0,2017-01-31,,2018-01-31,2,65.0,3.0,35000.0,1,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
P_06408242,C_08068764,AG_04302485,2016-11-30,2014-09-30,1450000.0,2200.0,3.0,1500.0,2017-01-31,,2018-01-31,1,40.0,4.0,140000.0,4,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
P_06164615,C_05718524,AG_04302485,2016-11-30,2014-11-30,1777000.0,1600.0,2.0,1100.0,2017-01-31,,2018-01-31,2,35.0,7.0,80000.0,2,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
P_06034643,C_09486191,AG_04302485,2016-06-30,2014-06-30,1216000.0,1300.0,3.0,1100.0,2017-01-31,,2018-01-31,1,35.0,5.0,65000.0,1,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
P_05754672,C_06069754,AG_04302485,2016-08-31,2014-08-31,1360000.0,3000.0,3.0,1900.0,2017-01-31,,2018-01-31,3,50.0,7.0,155000.0,3,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
P_05209079,C_05742431,AG_04302485,2016-11-30,2015-11-30,1154000.0,2200.0,2.0,1900.0,2017-01-31,,2018-01-31,1,45.0,6.0,140000.0,3,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
P_04562198,C_05800037,AG_04302485,2016-05-31,2014-04-30,1360000.0,1500.0,2.0,1200.0,2017-01-31,,2018-01-31,1,30.0,5.0,55000.0,2,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
P_04183203,C_09642370,AG_04302485,2016-05-31,2014-04-30,1349000.0,1500.0,2.0,1100.0,2017-01-31,,2018-01-31,1,30.0,2.0,55000.0,2,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
P_04089282,C_09439312,AG_04302485,2016-10-31,2015-10-31,1144000.0,1700.0,2.0,1500.0,2017-01-31,,2018-01-31,2,35.0,1.0,90000.0,2,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
P_01326098,C_09439312,AG_04302485,2016-10-31,2015-10-31,1144000.0,1300.0,2.0,1200.0,2017-01-31,,2018-01-31,2,35.0,1.0,90000.0,2,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
P_04083368,C_06768472,AG_04302485,2016-10-31,2016-03-31,1720000.0,4800.0,2.0,2600.0,2017-01-31,,2018-01-31,2,50.0,6.0,130000.0,2,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
P_04079947,C_06105124,AG_04302485,2016-06-30,2015-04-30,1216000.0,1600.0,1.0,1100.0,2017-01-31,,2018-01-31,1,50.0,8.0,70000.0,4,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
P_04062338,C_02977876,AG_04302485,2016-11-30,2015-11-30,1360000.0,2100.0,2.0,1800.0,2017-01-31,,2018-01-31,2,35.0,6.0,140000.0,1,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
P_03244485,C_09438215,AG_04302485,2016-11-30,2016-05-31,1360000.0,2000.0,1.0,1200.0,2017-01-31,,2018-01-31,2,50.0,6.0,60000.0,1,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
P_03024725,C_05247191,AG_04302485,2016-04-30,2014-04-30,1072000.0,1400.0,2.0,1300.0,2017-01-31,,2018-01-31,2,40.0,1.0,60000.0,2,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
P_03002361,C_01622844,AG_04302485,2016-01-31,2014-12-31,1108000.0,1500.0,2.0,1400.0,2017-01-31,,2018-01-31,2,35.0,6.0,85000.0,2,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P_02998575,C_09512049,AG_04302485,2016-09-30,2015-09-30,1072000.0,1600.0,2.0,1400.0,2017-01-31,,2018-01-31,1,45.0,2.0,70000.0,1,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
P_02978706,C_02735345,AG_04302485,2016-10-31,2016-10-31,1159000.0,2000.0,3.0,1700.0,2017-01-31,,2018-01-31,2,35.0,4.0,45000.0,3,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
P_02750825,C_08220436,AG_04302485,2016-04-30,2015-04-30,1144000.0,2000.0,2.0,1800.0,2017-01-31,,2018-01-31,2,45.0,4.0,40000.0,2,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
P_02607822,C_05010335,AG_04302485,2016-04-30,2015-04-30,1144000.0,2300.0,1.0,1200.0,2017-01-31,,2018-01-31,2,50.0,1.0,95000.0,2,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
P_02594557,C_03593427,AG_04302485,2016-02-29,2015-02-28,1216000.0,1300.0,3.0,1100.0,2017-01-31,,2018-01-31,2,35.0,2.0,60000.0,2,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
P_01969575,C_00350629,AG_04302485,2016-11-30,2014-11-30,1936000.0,2200.0,3.0,1400.0,2017-01-31,,2018-01-31,2,35.0,7.0,65000.0,1,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
P_01201084,C_03247963,AG_04302485,2016-06-30,2014-06-30,1288000.0,3900.0,2.0,3000.0,2017-01-31,,2018-01-31,2,45.0,-1.0,200000.0,4,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
P_01094872,C_01686684,AG_04302485,2016-06-30,2015-05-31,1720000.0,1800.0,2.0,1200.0,2017-01-31,,2018-01-31,2,35.0,6.0,135000.0,3,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
P_00445380,C_03707479,AG_04302485,2016-04-30,2015-04-30,1144000.0,2100.0,2.0,1700.0,2017-01-31,,2018-01-31,2,45.0,4.0,90000.0,2,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
P_00178585,C_07088843,AG_04302485,2016-01-31,2014-03-31,1288000.0,1800.0,2.0,1100.0,2017-01-31,,2018-01-31,1,40.0,2.0,70000.0,5,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
P_09996824,C_08796001,AG_04873767,2016-07-31,2014-08-31,1720000.0,2900.0,1.0,1400.0,2017-01-31,,2018-01-31,0,-0.0,7.0,70000.0,1,2017-01-31,50.0,11,99.0,60.0,2017-01-31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
P_09378970,C_09548162,AG_04873767,2016-03-31,2016-03-31,1180000.0,1400.0,3.0,1200.0,2017-01-31,,2018-01-31,0,40.0,4.0,165000.0,4,2017-01-31,50.0,11,99.0,60.0,2017-01-31,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
P_03646698,C_09548162,AG_04873767,2016-03-31,2016-03-31,1180000.0,1400.0,3.0,1200.0,2017-01-31,,2018-01-31,0,40.0,4.0,165000.0,4,2017-01-31,50.0,11,99.0,60.0,2017-01-31,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
P_05523147,C_02402002,AG_04873767,2016-05-31,2016-05-31,1180000.0,1300.0,2.0,1100.0,2017-01-31,,2018-01-31,2,35.0,4.0,65000.0,2,2017-01-31,50.0,11,99.0,60.0,2017-01-31,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
P_04433725,C_07036867,AG_04873767,2016-07-31,2016-05-31,1072000.0,2300.0,1.0,1500.0,2017-01-31,,2018-01-31,2,65.0,2.0,30000.0,1,2017-01-31,50.0,11,99.0,60.0,2017-01-31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
P_01862938,C_07191213,AG_04873767,2016-10-31,2015-11-30,1144000.0,2700.0,2.0,1900.0,2017-01-31,,2018-01-31,2,55.0,7.0,175000.0,1,2017-01-31,50.0,11,99.0,60.0,2017-01-31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
